Cumulative Distance,Time
2.1912814170418917,200
6.197868102030237,400
10.199809092203381,600
14.191974460402257,800
18.16593091506163,1000
22.123794960751766,1200
26.089126261392,1400
30.084596311515575,1600
34.06728827697502,1800
38.037806098455995,2000
41.97777733539322,2200
45.8822196958886,2400
49.83553365459173,2600
53.80473613723105,2800
57.76220647301011,3000
61.73530327421406,3200
65.70887192532693,3400
69.6465501905755,3600
73.57943683205478,3800
77.50990977683557,4000
81.51455158183887,4200
85.57461648823845,4400
89.57585698561414,4600
93.57260508156682,4800
97.56688102637989,5000
101.60167974350864,5200
105.6250273407244,5400
109.62549437471179,5600
113.61293080711866,5800
117.54519559481197,6000
121.51228007230091,6200
125.45629227503497,6400
129.38154164213506,6600
133.34160087045262,6800
137.2977821773314,7000
141.27776337297755,7200
145.25226097825092,7400
149.22879471167252,7600
153.20398462025594,7800
157.2074389177099,8000
161.1695421320226,8200
165.07416402874566,8400
169.04803322402202,8600
173.05269670916005,8800
177.04804875287093,9000
181.02942975097972,9200
185.00546762317745,9400
189.00949527470482,9600
192.99067988055864,9800
196.9510549445625,10000
200.94475441760827,10200
204.92639101698046,10400
208.92036303592045,10600
212.93356578147194,10800
216.93795967548405,11000
220.98417097460586,11200
224.9912474980623,11400
228.9410008551771,11600
232.92437140790918,11800
236.9194025327084,12000
240.91591267420915,12200
244.91259656041908,12400
248.90515669972302,12600
252.87876867367652,12800
256.85342258966097,13000
260.84973054668956,13200
264.8428344318414,13400
268.84750436945404,13600
272.8363553888156,13800
276.79368216296814,14000
280.74680770681425,14200
284.66550070542064,14400
288.61224577972166,14600
292.61766642874335,14800
296.5834350175069,15000
300.5606863103417,15200
304.5525908734923,15400
308.5688046903923,15600
312.5891031236512,15800
316.55496713321793,16000
320.5292272700298,16200
324.5072078483363,16400
328.47492404873304,16600
332.4177778369775,16800
336.3879237849746,17000
340.3738857772549,17200
344.29348852386846,17400
348.25985039734195,17600
352.25541740906175,17800
356.2166088517745,18000
360.180480290011,18200
364.14039576756875,18400
368.08501565312577,18600
372.0635564073835,18800
376.0639899756887,19000
380.03086658214556,19200
383.9809421151112,19400
387.9316460454471,19600
391.86953503052337,19800
395.81798932766674,20000
399.804339985901,20200
403.7821296802797,20400
407.7035551186003,20600
411.673465119738,20800
415.72489317659864,21000
419.7321917530953,21200
423.72194517885606,21400
427.7500381933535,21600
431.76158576403526,21800
435.70450908397873,22000
439.66285567030764,22200
443.6403111432483,22400
447.6452595180889,22600
451.6714599877706,22800
455.6260369067099,23000
459.54287394771245,23200
463.4813738736501,23400
467.4175067661951,23600
471.290015325319,23800
475.206441253595,24000
479.153080345166,24200
483.05621366300204,24400
487.0241532882417,24600
490.98522802651877,24800
494.94950611626325,25000
498.99661653210785,25200
502.95759454542133,25400
506.9192343903473,25600
510.89417289968554,25800
514.8131021568392,26000
518.7353490894642,26200
522.6715234515104,26400
526.6644775561863,26600
530.6757065065877,26800
534.7475233559601,27000
538.7925125495047,27200
542.7245197625136,27400
546.6288775363909,27600
550.5671432816881,27800
554.5221679564468,28000
558.4666743447954,28200
562.3459466193706,28400
566.3002518749817,28600
568.4596954739264,28800
