Cumulative Distance,Time
2.4769237625407143,200
7.66952894180727,400
12.91705259399211,600
18.048590264703925,800
23.39101979248558,1000
28.983129380645384,1200
34.41426245899258,1400
39.67209704530798,1600
45.294349019640556,1800
50.765078166180466,2000
55.77171859134301,2200
60.86643562443349,2400
66.12545998065383,2600
71.35013306503384,2800
76.23829771863585,3000
81.13448006431763,3200
86.08437045970001,3400
91.08819714244474,3600
96.33160237219721,3800
101.20771261766643,4000
106.34005998146705,4200
111.15238889369869,4400
115.97188464105915,4600
121.26520628578096,4800
126.2815738069867,5000
131.33839896972952,5200
136.28428624902475,5400
141.38411343024055,5600
146.63094406461076,5800
151.79871065555776,6000
156.88452780688067,6200
162.12164842149173,6400
167.36401212054187,6600
172.50480664435256,6800
177.7042230861173,7000
182.92804028971983,7200
188.16194435809132,7400
193.3740715805112,7600
198.6662241199359,7800
204.00850988079935,8000
209.33507042919422,8200
214.70237881040904,8400
220.27607773109366,8600
225.67094113419472,8800
230.76450004811366,9000
235.8905539399563,9200
241.01379615675216,9400
246.25209051598637,9600
251.5881226970497,9800
256.82508881934643,10000
262.0261796191179,10200
267.2601786289746,10400
272.3926549316718,10600
277.5428602569004,10800
282.72238087379054,11000
288.0479148367134,11200
293.30221264669734,11400
298.5345931625329,11600
303.7685968818715,11800
308.9552208374107,12000
314.26044551021215,12200
319.4887343324966,12400
324.6776890418987,12600
329.7425739055715,12800
334.7482569640053,13000
339.907409695766,13200
345.21270034225796,13400
350.46620506854345,13600
355.75815787868163,13800
360.95203454747093,14000
366.02478519233006,14200
371.2780148194165,14400
376.5374871403869,14600
381.8291226748417,14800
386.9806417403848,15000
392.0676645256864,15200
397.2976743374544,15400
402.4065102369814,15600
407.25785657927634,15800
412.1891916242892,16000
417.34927671387277,16200
422.3020253461345,16400
427.2517087291422,16600
433.18290414359393,16800
439.27917893650493,17000
444.4108952333598,17200
449.3624933067516,17400
454.5253046804516,17600
459.60076907904596,17800
464.62976468297217,18000
469.5941273737018,18200
474.5401382260768,18400
479.61944321848347,18600
484.4607679799003,18800
489.6645535821225,19000
495.0262133554514,19200
500.0853413753373,19400
505.16418224339645,19600
510.0579976708277,19800
514.8037518719374,20000
519.6536897710498,20200
524.7335349327192,20400
529.8000527109415,20600
534.8264703624521,20800
539.9022554685064,21000
545.0349904310677,21200
550.1359242367209,21400
555.2353187766427,21600
560.3049944524147,21800
565.2975567836407,22000
570.2401136548057,22200
575.3055336202315,22400
580.5746548740235,22600
585.6099481300544,22800
590.5315958102971,23000
595.6451776590002,23200
600.8764617518831,23400
605.8096142160567,23600
610.4652247892476,23800
615.4414436835557,24000
620.5280964458649,24200
625.593701472009,24400
630.6192933501092,24600
635.575567563088,24800
640.5125876595794,25000
645.2242515149636,25200
649.9099555711401,25400
654.7409690199722,25600
659.8094746777596,25800
665.0711552149367,26000
670.1798120365057,26200
674.8254547860048,26400
679.4008606341962,26600
684.2648761616856,26800
689.2887981743498,27000
694.2603814986236,27200
699.0832910764404,27400
703.8141711204416,27600
708.6288326502095,27800
713.4671703413578,28000
718.2259890930351,28200
722.7245166113289,28400
727.2191698194299,28600
729.6239639915051,28800
