Time,Velocity,Acceleration,Battery,EnergyConsumption,Solar,Cumulative Distance
10400,19.493177487578873,0.001707305190523165,112.08638954103016,2500.6803710012464,2869.919571479718,203.6874386912602
10600,19.833089218213512,0.0016995586531731988,111.89731247794262,2544.839837094026,2908.3027332951733,207.62006536183947
10800,19.801593096742298,-0.00015748060735607084,111.67686609863983,2589.2510960004574,2945.9793553139048,211.58353359333503
11000,19.678539937756607,-0.0006152657949284546,111.45045273185958,2633.1401200913574,2982.951451049668,215.53154689678493
11200,18.957474302315948,-0.0036053281772032973,111.29689234027043,2674.101350254024,3019.2214112492857,219.3951483207922
11400,19.999872835948604,0.005211992668163284,111.01365503292733,2718.3248334166906,3054.7919946726206,223.29088303461864
11600,19.150996628764666,-0.004244381035919691,110.7791768798154,2760.3624649359454,3089.666318614306,227.20596998109
11800,20.184881988601354,0.005169426799183441,110.4195053482993,2805.5319607955767,3123.84784918612,231.13955784282658
12000,18.543423419498662,-0.008207292845513461,110.20985352596885,2845.429366160606,3157.340391378955,235.0123883836366
12200,19.703903851912795,0.005802402162070663,109.88838217234989,2888.0580035580515,3190.1480789233406,238.83712111077776
12400,19.694537164784037,-4.683343564378717e-05,109.50482408787408,2931.9029880829316,3222.2753639674847,242.77696521244744
12600,19.3092691725819,-0.00192633996101069,109.12682492098114,2974.9025052557226,3253.7270065916964,246.677345846184
12800,20.739600037634677,0.007151654325263887,108.55418107948347,3023.177832199773,3284.5080641779928,250.68223276720565
13000,18.405565366803664,-0.011670173354155065,108.21110855325738,3063.774514351531,3314.6238806535434,254.5967493076495
13200,20.466896450763024,0.010306655419796798,107.66601718475368,3109.8832506322055,3344.0800756264307,258.48399548940614
13400,19.798818662403594,-0.0033403889417971478,107.10955297744638,3155.6856899710288,3372.882533432016,262.5105670007228
13600,20.513270098957907,0.0035722571827715654,106.46205896303736,3203.621490787155,3401.0373921079463,266.541775876859
13800,19.37256241908123,-0.005703538399383383,105.91780322840644,3247.7621436877625,3428.5510323155795,270.5303591286629
14000,19.988170906983434,0.0030780424395110196,105.31434850916644,3293.0767192702715,3455.4300662253063,274.4664324612694
14200,19.777974969883,-0.0010509796855021668,104.69498113433873,3338.249652728855,3481.6813263829035,278.44304704895603
14400,19.18877955401772,-0.0029459770793264007,104.13883915231712,3380.8703184704304,3507.3118545737184,282.3397225013461
14600,18.803321457212707,-0.0019272904840250682,103.63073087808996,3421.4100623754307,3532.3288907010788,286.1389326024691
14800,20.211165787944456,0.007039221653658743,102.93870791316508,3466.96233494774,3556.7398616949336,290.04038132698486
15000,19.447005299611615,-0.003820802441664206,102.27453295183203,3511.0653887878143,3580.552370466283,294.00619843574043
15200,19.365327105539386,-0.00040839097036114323,101.62871308811533,3554.017000080588,3603.7741849225113,297.8874316762555
15400,19.27564668443228,-0.0004484021055355214,100.9780091373091,3596.5350479134727,3626.413227058266,301.7515290552527
15600,19.99379058382565,0.003590719496966841,100.21981513032085,3641.762209904716,3648.477562136018,305.67847278207853
15800,19.602863472487762,-0.001954635556689439,99.32108652017456,3690.716194778627,3669.9753879699597,309.6381381877099
16000,18.44647836456172,-0.005781925539630208,98.56902380825665,3734.6313469840893,3690.9150243263302,313.44307237141487
16200,19.41865589000405,0.004860887627211649,97.71854115329114,3781.0034702197254,3711.3049024527695,317.22958579687145
16400,18.711048592392068,-0.0035380364880599124,96.90402931233581,3825.735459256847,3731.1535547487065,321.04255624511103
16600,19.229286716423754,0.002591190620158432,96.03251815591307,3871.6761749251154,3750.4696045882592,324.8365897759926
16800,19.23825015585926,4.481719717752242e-05,95.12305952759836,3918.2522877384076,3769.2617563065373,328.6833434632209
17000,18.59777904337531,-0.0032023555624197363,94.277948426825,3962.347460920167,3787.5387853596712,332.4669463831444
17200,20.12371915072561,0.007629700536751489,93.24427687535604,4011.6968701261717,3805.3095286682988,336.33909620255446
17400,19.467482271958943,-0.0032811843938333318,92.2201573780799,4060.257067253326,3822.582875153667,340.29821634482295
17600,20.89877663671984,0.007156471823804491,91.01230428058479,4113.941860703039,3839.3677564749046,344.33484223569087
17800,19.22739214703796,-0.008356922448409403,89.95783641835096,4162.461235394814,3855.6731379754365,348.3474591140666
18000,21.70945773715047,0.012410327950562542,88.6151503460694,4219.315166773505,3871.508009845925,352.44114410248545
18200,18.57845533807655,-0.01565501199536959,87.58553240099423,4266.143363660144,3886.8813785105176,356.46993541000813
