Cumulative Distance,Time
732.2702183392622,29000
737.4454788641209,29200
742.4243191742552,29400
747.1490008418235,29600
752.0867689805118,29800
757.213885868609,30000
762.0998729482858,30200
766.8791853796678,30400
771.6301358045034,30600
776.2926282579451,30800
781.1752590735115,31000
786.1263745831742,31200
791.0660679079816,31400
795.9383781033957,31600
800.767218744245,31800
805.5337782469703,32000
810.2657188667548,32200
815.0604040336751,32400
819.8983993537242,32600
824.7702549918665,32800
829.7142950548622,33000
834.6733912833678,33200
839.5152370093305,33400
844.3957051017162,33600
849.2530379269715,33800
854.0324509400859,34000
858.7151444028422,34200
863.3173018392982,34400
867.9254077508889,34600
872.6489013368121,34800
877.4460675514869,35000
882.2438350067055,35200
887.0864611070269,35400
891.7944173583994,35600
896.4503996938081,35800
901.2829661733991,36000
906.1531842013045,36200
911.0044376924666,36400
915.9028268075966,36600
920.6859929277495,36800
925.515772898629,37000
930.4241962275258,37200
935.2755296801491,37400
940.2129552166358,37600
945.0779149578372,37800
949.9054003674574,38000
954.8579625566468,38200
959.743417923318,38400
964.6904346787243,38600
969.6956837369654,38800
974.5774682934496,39000
979.5783713621678,39200
984.7124575227758,39400
989.6217090897934,39600
994.5864375341937,39800
999.624744770831,40000
1004.4583756067735,40200
1009.2990139664413,40400
1014.2226902018103,40600
1019.1129158050583,40800
1023.9367003564747,41000
1028.7724288509514,41200
1033.6688980393376,41400
1038.6533823672994,41600
1043.4564514327599,41800
1048.2449797583868,42000
1053.1901636912237,42200
1058.073035398378,42400
1062.907852056975,42600
1067.7609888357874,42800
1072.6234971602605,43000
1077.563989000832,43200
1082.5090789346866,43400
1087.5285435838491,43600
1092.6357967144227,43800
1097.5594446564085,44000
1102.4093378444945,44200
1107.287232737046,44400
1112.1346060265955,44600
1116.9547015570802,44800
1121.839438448042,45000
1126.682405959717,45200
1131.4755676290513,45400
1136.378994141314,45600
1141.2052099559405,45800
1146.042750147009,46000
1150.971336644294,46200
1155.85266514692,46400
1160.73156265417,46600
1165.589021318382,46800
1170.554927789346,47000
1175.5743737621885,47200
1180.5661927147205,47400
1185.4784304235766,47600
1190.3939183505652,47800
1195.320186723643,48000
1200.2346599932082,48200
1205.0779455808674,48400
1209.8786696353693,48600
1214.7742855198974,48800
1219.6933200463145,49000
1224.6034230264859,49200
1229.566554929074,49400
1234.5048036873204,49600
1239.2192256310755,49800
1243.972010329227,50000
1248.8640757591288,50200
1253.7736760764863,50400
1258.727961046651,50600
1263.6332142764293,50800
1268.526611353648,51000
1273.4157626080553,51200
1278.3074027166083,51400
1283.125902975099,51600
1287.9377197597605,51800
1292.7756581021886,52000
1297.5809501384585,52200
1302.4779459219374,52400
1307.3552354679575,52600
1312.1921536126479,52800
1317.0808398313095,53000
1321.9589149323065,53200
1326.8085726701986,53400
1331.6944646607237,53600
1336.6153939658325,53800
1341.5531302562192,54000
1346.486859902577,54200
1351.345110849413,54400
1356.239007227046,54600
1361.1759907765663,54800
1366.1256599740223,55000
1370.9968980850476,55200
1375.7586693414232,55400
1380.6546006619124,55600
1385.535395979257,55800
1390.3831188622569,56000
1395.3701602431624,56200
1400.5182107039439,56400
1405.5988498404417,56600
1410.6407502450495,56800
1415.727379951073,57000
1421.0306832415451,57200
1426.5940296058873,57400
1429.509161770411,57600
