Time,Velocity,Acceleration,Battery,EnergyConsumption,Solar,Cumulative Distance
0,1.6354811312533971e-25,,100.0,,,0.0
200,24.242992739079195,0.12121496369539597,99.7007325825682,41.26990464668604,32.12728504414436,2.4242992739079194
400,26.49871723696931,0.011278622489450569,98.16908496035104,79.59952240311966,32.80768754438585,7.49847027151277
600,25.143819029469146,-0.006774491037500816,96.77583726197973,76.0562593780779,33.49254219283432,12.662723898156615
800,25.752388110135467,0.0030428454033316044,95.37057446176098,77.11230911849759,34.18153057181455,17.752344612117078
1000,26.577243465420562,0.004124276776425475,93.80882681588074,82.58571452332681,34.87432394168563,22.985307769672684
1200,26.316371049397613,-0.0013043620801147426,92.27010093170729,82.57865918483375,35.57058342333493,28.2746692211545
1400,26.22246306684737,-0.00046953991275120897,90.78615207769843,81.60459768958857,36.26996019961767,33.528552632779
1600,25.45978899585619,-0.003813370354955907,89.46611353523761,77.2992732079415,36.97209573576342,38.69677783904935
1800,26.86558206768829,0.0070289653591605016,87.82168548988079,87.91389880438211,37.67662201873136,43.92931494540381
2000,25.805060999603025,-0.005302605340426325,86.31213440451312,84.49994747343827,38.38316181545541,49.196379252132935
2200,26.393970580577623,0.0029445479048729874,84.77959235449232,85.91048857801582,39.09132894988052,54.416282410151005
2400,25.429850938926304,-0.004820598208256595,83.40973807483994,81.64977684202884,39.800728598649044,59.5986645621014
2600,25.233325510512422,-0.0009826271420694077,82.1486566597308,79.03699483683907,40.51095760525495,64.66498220704527
2800,25.115279691986487,-0.0005902290926296772,80.94118794067951,78.10977417945814,41.22160481244125,69.69984272729515
3000,25.25292056615609,0.000688204370848009,79.73958596275136,78.64119183827856,41.93225141257369,74.73666275310941
3200,24.882691215362417,-0.001851146753968358,78.61708818588143,76.93477839905758,42.64247131568079,79.75022393126126
3400,25.231933873187266,0.0017462132891242455,77.71426582850388,70.9330545526928,43.351831534808774,84.76168644011624
3600,25.193985791545025,-0.00018974040821120752,76.82433435421628,71.24729912778263,44.05989258829614,89.80427840658946
3800,25.20269263667392,4.3534225644474846e-05,75.95788031917147,71.23637968915094,44.766208918531696,94.84394624941136
4000,25.193912006036577,-4.390315318671511e-05,75.11552406700326,71.20431283045524,45.470329326716964,99.8836067136824
4200,25.055046148096455,-0.0006943292897006082,74.31964802056049,70.48581064193961,46.171797423112956,104.9085025290957
4400,25.347338034058026,0.0014614594298078564,73.50455549556905,71.7712287306988,46.87015209221038,109.94874094731115
4600,25.215146680184482,-0.0006609567693677221,72.72029449509796,71.52410153661377,47.56492797222187,115.00498941873539
4800,24.88478333863594,-0.0016518167077427038,72.01980200603235,69.65570148921023,48.25565594825583,120.01498242061744
5000,25.607700849215604,0.003614587552898314,70.94606639385127,81.74448661062468,48.94186365849267,125.06423083940258
5200,24.865863826546065,-0.0037091851133476974,69.9841622403466,79.00924790221414,49.62307601264706,130.11158730697878
5400,25.214671334892035,0.0017440375417298525,69.02335882520458,79.65136005455243,50.29881572196336,135.11964082312258
5600,25.256720863525068,0.00021024764316516454,68.05897468279315,80.43053939062617,50.9686038399567,140.1667800429643
5800,25.205027848396398,-0.0002584650756433504,67.12298020845031,80.22659150425196,51.63196031307813,145.21295491415643
6000,25.21969685022974,7.33450091667187e-05,66.20867360914515,80.22047114922272,52.288404540450735,150.25542738401904
6200,25.20980527144503,-4.945789392355238e-05,65.31654027463091,80.19212931120325,52.93745594179266,155.29837759618653
6400,25.09111747335672,-0.0005934389904415483,64.4662637045247,79.5545837493589,53.57863453261444,160.3284698706667
6600,25.271405128948057,0.0009014382779566788,63.66972685194269,78.54566235213188,54.21146150575096,165.3647221308972
6800,25.194319613110814,-0.0003854275791862172,62.89730484335517,78.43295218061229,54.835459818263594,170.41129460510308
7000,25.24288317754616,0.00024281782217673963,62.14073171317723,78.56346390966084,55.45015478272435,175.45501488416878
7200,25.3743329079456,0.0006572486519971931,61.37860418531671,79.33807063801237,56.055074661873775,180.51673649271797
7400,25.164690762560067,-0.0010482107269276675,60.665201547543454,78.44420184959772,56.64975126562464,185.5706388597685
7600,25.2482374524504,0.0004177334494516671,59.96766631628496,78.54342186431458,57.233720549367625,190.61193168126954
7800,25.25963703688532,5.6997922174595315e-05,59.282451276621266,78.73984267424608,57.806523212520354,195.66271913020313
8000,25.18351165861703,-0.00038062689134145346,58.62814195507257,78.35685506956224,58.367705296249646,200.70703399975335
8200,25.533151440563103,0.0017481989097303697,58.249521618724096,70.4836700547329,58.91681877928709,205.77870030967136
8400,25.15095540478304,-0.00191098017890031,57.93577103233805,69.03850258484552,59.453422170751445,210.847110994206
8600,25.177238135058325,0.0001314136513764197,57.6521179329624,68.6426832848122,59.97708109888636,215.87993034819013
8800,25.210182149391617,0.00016472007166646208,57.37857684282222,68.84404919840343,60.48736889462057,220.91867237663513
9000,25.43316499496423,0.0011149142278630642,57.08298679924385,70.01414300017731,60.983867168858104,225.98300709107073
9200,25.224890971398658,-0.0010413701178278601,56.82744899257436,69.27284637616245,61.46616638240953,231.04881268770703
9400,25.110385284402902,-0.0005725284349787785,56.615484326160185,68.40938696643381,61.93386640748094,236.08234031328715
9600,24.332132152234855,-0.003891265660840233,56.54875987073838,64.42500919278199,62.386577079646244,241.02659205695093
9800,25.27612979366705,0.00471998820716097,56.378707577894616,68.01901628561671,62.823918739239616,245.98741825154113
10000,25.20797879782553,-0.00034075497920760256,56.015171544813505,74.35154857174655,63.24552276111836,251.0358291106904
10200,24.856195588935552,-0.0017589160444498831,55.72694140607,72.45646281037745,63.65103207176323,256.0422465493665
10400,24.86753468854253,5.669549803489104e-05,55.466178301949306,72.00641448358977,64.0401016527025,261.01461957711433
10600,25.22994376119533,0.0018120453632639944,55.15702525321266,73.85702466817156,64.41239902926688,266.0243674220881
10800,25.22299200484221,-3.4758781765589216e-05,54.84304424177783,74.35972464304137,64.76760474370762,271.06966099869186
11000,25.241329016676268,9.168505917028113e-05,54.53737665063528,74.44355772113995,65.10541281173548,276.1160931008437
11200,25.10371410293822,-0.0006880745686902401,54.264392211117865,73.76520578882526,65.42553116156824,281.1505974128052
11400,25.23864556972891,0.0006746573339534479,53.98536954208968,74.25182459341634,65.72768205460511,286.1848333800719
11600,25.44792629061085,0.0010464036044097113,53.8424865147115,70.37667897328332,66.01160248688038,291.2534905661059
11800,25.156221551938746,-0.0014585236933605293,53.74712407084392,69.19036723063932,66.27704457048391,296.31390535036087
12000,25.290620545533855,0.0006719949679755466,53.65118122581426,69.45482980983026,66.52377589417479,301.3585895601081
12200,25.249988729926415,-0.0002031590780372028,53.56313057743887,69.4415271703215,66.75157986245362,306.4126504876541
12400,25.048445898907048,-0.001007714155096835,53.51723872558211,68.36225208662485,66.96025601240093,311.4424939505374
12600,25.253725577193123,0.0010263983914303764,53.452961127872626,69.11330091765845,67.14962030763336,316.47271109814744
12800,25.21981107625765,-0.00016957250467736885,53.39025750875069,69.23510097294944,67.319505408774,321.5200647634925
13000,25.07112031498365,-0.0007434538063700025,73.33894875825415,68.43400619945693,67.92254264903494,326.5491579026166
13200,25.237072165110643,0.0008297592506349716,72.9026523887114,81.20093797656848,67.87208388703797,331.579977150626
13400,25.17484162240179,-0.0003111527135442671,72.46576546260198,81.14840018169801,67.80150458905484,336.62116852937726
13600,25.394841217426237,0.0010999979751222355,71.99093679528765,82.2168833981045,67.71086761165148,341.6781368133601
13800,25.01542380208649,-0.0018970870766987246,71.56655105133953,80.56523808793703,67.60025361032235,346.7191633153114
14000,25.153241123698866,0.0006890866080618707,71.13466512012084,80.66387611861101,67.46976091988039,351.7360298078899
14200,25.254573189616938,0.0005066603295903605,70.6727242715311,81.43179833319066,67.319505408774,356.7768112392215
14400,25.183438255542104,-0.0003556746703741709,70.21204187028299,81.22346766576221,67.14962030763336,361.8206123837374
14600,25.22775752357027,0.00022159634014082386,69.74135127890624,81.33985357896151,66.96025601240093,366.8617319616486
14800,25.21879311181867,-4.4822058757993946e-05,69.50617545698334,73.93620122219859,66.75157986245362,371.9063870251875
15000,25.262927777507475,0.00022067332844402543,69.25645603359649,74.15270427864249,66.52377589417479,376.95455911412006
15200,25.315984311598196,0.0002652826704536082,68.9872669949377,74.50076970150941,66.27704457048391,382.01245032303063
15400,25.216963116286884,-0.0004951059765565624,68.72361417893038,74.06619601590451,66.01160248688038,387.0657450658191
15600,25.13349682101819,-0.0004173314763434632,68.47003745788784,73.47445088245419,65.72768205460511,392.1007910595496
15800,25.166840770407674,0.00016671974694741466,68.20517738258735,73.51700646199802,65.42553116156824,397.1308248186922
16000,25.413032688611207,0.001230959591017662,67.88598243818622,74.85681836319026,65.10541281173548,402.1888121645941
16200,25.25643899481864,-0.000782968468962828,67.56978740321266,74.42736306215033,64.76760474370762,407.2557593329371
16400,25.577079962370277,0.001603204837758181,67.22351369842903,74.99106071040663,64.41239902926688,412.33911122865595
16600,25.265946350882086,-0.0015556680574409577,66.90197711278756,73.86304434404902,64.0401016527025,417.4234138599812
16800,25.28453329843389,9.293473775901618e-05,66.57977522968521,73.49429960054023,63.65103207176323,422.4784618249128
17000,25.22998203660887,-0.00027275630912509285,66.25256378372204,73.24183243529255,63.24552276111836,427.5299133584171
17200,25.229323874742335,-3.29080933267889e-06,65.91430528741684,73.1577158013645,62.823918739239616,432.5758439495522
17400,25.236585443899344,3.630784578504631e-05,65.56054516456655,73.1939488327229,62.386577079646244,437.6224348814164
17600,25.23174002523933,-2.422709330007322e-05,65.19242744240232,73.17986281959809,61.93386640748094,442.6692674283303
17800,25.22512136609047,-3.309329574429754e-05,64.81034495068857,73.13878650426564,61.46616638240953,447.7149535674633
18000,25.506956357257152,0.0014091749558334144,64.36529799093935,74.58005178919706,60.983867168858104,452.788161339798
18200,24.722138247329454,-0.003924090549638493,63.594223848435064,84.04368394812758,60.48736889462057,457.8110708002567
